task_id,condition,af_class,af_score,combined_pass_at_k,adversarial_ratio,rounds_taken,termination_reason,wall_time_s,timestamp
HumanEval/5,C,correct,0.385000,1.000000,0.000000,1,G6_SHALLOW_ATTACKS: edge_coverage=0.000 < 0.75,39.84,2026-04-21T21:56:43.347015+00:00
HumanEval/5,D,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,60.73,2026-04-21T21:57:44.074254+00:00
HumanEval/6,A,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,31.68,2026-04-21T21:58:15.755757+00:00
HumanEval/6,B,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,120.92,2026-04-21T22:00:16.681633+00:00
HumanEval/6,C,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,81.56,2026-04-21T22:01:38.246943+00:00
HumanEval/6,D,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,121.25,2026-04-21T22:03:39.493302+00:00
HumanEval/7,A,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,70.86,2026-04-21T22:04:50.352596+00:00
HumanEval/7,B,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,102.92,2026-04-21T22:06:33.269366+00:00
HumanEval/7,C,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,119.80,2026-04-21T22:08:33.075707+00:00
HumanEval/7,D,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,165.78,2026-04-21T22:11:18.866892+00:00
HumanEval/8,A,correct,0.385000,1.000000,0.000000,1,G6_SHALLOW_ATTACKS: edge_coverage=0.000 < 0.75,82.44,2026-04-21T22:12:41.306069+00:00
HumanEval/8,B,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,85.29,2026-04-21T22:14:06.596951+00:00
HumanEval/8,C,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,120.09,2026-04-21T22:16:06.701138+00:00
HumanEval/8,D,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,113.54,2026-04-21T22:18:00.238255+00:00
HumanEval/9,A,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,28.59,2026-04-21T22:18:28.825173+00:00
HumanEval/9,B,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,121.27,2026-04-21T22:20:30.094729+00:00
HumanEval/9,C,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,88.02,2026-04-21T22:21:58.115249+00:00
HumanEval/9,D,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,68.06,2026-04-21T22:23:06.171811+00:00
HumanEval/10,A,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,22.07,2026-04-21T22:23:28.241337+00:00
HumanEval/10,B,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,121.88,2026-04-21T22:25:30.121154+00:00
HumanEval/10,C,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,69.53,2026-04-21T22:26:39.652505+00:00
HumanEval/10,D,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,79.67,2026-04-21T22:27:59.322119+00:00
HumanEval/11,A,correct,0.385000,1.000000,0.000000,1,G6_SHALLOW_ATTACKS: edge_coverage=0.000 < 0.75,6.74,2026-04-21T22:28:06.064141+00:00
HumanEval/11,B,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,96.40,2026-04-21T22:29:42.467056+00:00
HumanEval/11,C,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,81.04,2026-04-21T22:31:03.512626+00:00
HumanEval/11,D,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,92.39,2026-04-21T22:32:35.907709+00:00
HumanEval/12,A,degraded,0.000000,0.000000,0.000000,1,G2_CANONICAL_REGRESSION: pass@k=0.000,112.54,2026-04-21T22:34:28.450882+00:00
HumanEval/12,B,degraded,0.000000,0.000000,0.000000,1,G2_CANONICAL_REGRESSION: pass@k=0.000,573.05,2026-04-21T22:44:01.498158+00:00
HumanEval/12,C,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,57.09,2026-04-21T22:44:58.598752+00:00
HumanEval/12,D,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,80.46,2026-04-21T22:46:19.064192+00:00
HumanEval/13,A,correct,0.385000,1.000000,0.000000,1,G6_SHALLOW_ATTACKS: edge_coverage=0.000 < 0.75,107.09,2026-04-21T22:48:06.161835+00:00
HumanEval/13,B,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,71.16,2026-04-21T22:49:17.323894+00:00
HumanEval/13,C,correct,0.385000,1.000000,0.000000,1,G6_SHALLOW_ATTACKS: edge_coverage=0.000 < 0.75,44.11,2026-04-21T22:50:01.435839+00:00
HumanEval/13,D,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,54.25,2026-04-21T22:50:55.683776+00:00
HumanEval/14,A,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,46.10,2026-04-21T22:51:41.790271+00:00
HumanEval/14,B,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,67.16,2026-04-21T22:52:48.957377+00:00
HumanEval/14,C,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,88.97,2026-04-21T22:54:17.934666+00:00
HumanEval/14,D,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,56.76,2026-04-21T22:55:14.696820+00:00
HumanEval/15,A,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,31.17,2026-04-21T22:55:45.867514+00:00
HumanEval/15,B,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,80.81,2026-04-21T22:57:06.692004+00:00
HumanEval/15,C,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,54.88,2026-04-21T22:58:01.579573+00:00
HumanEval/15,D,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,51.90,2026-04-21T22:58:53.484734+00:00
HumanEval/16,A,correct,0.385000,1.000000,0.000000,1,G6_SHALLOW_ATTACKS: edge_coverage=0.000 < 0.75,25.40,2026-04-21T22:59:18.890566+00:00
HumanEval/16,B,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,66.83,2026-04-21T23:00:25.719737+00:00
HumanEval/16,C,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,105.91,2026-04-21T23:02:11.634823+00:00
HumanEval/16,D,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,67.48,2026-04-21T23:03:19.112664+00:00
HumanEval/17,A,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,7.11,2026-04-21T23:03:26.223775+00:00
HumanEval/17,B,degraded,0.000000,0.000000,0.000000,1,G2_CANONICAL_REGRESSION: pass@k=0.000,197.70,2026-04-21T23:06:43.925025+00:00
HumanEval/17,C,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,78.44,2026-04-21T23:08:02.368607+00:00
HumanEval/17,D,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,121.77,2026-04-21T23:10:04.144281+00:00
HumanEval/18,A,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,50.96,2026-04-21T23:10:55.110365+00:00
HumanEval/18,B,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,71.21,2026-04-21T23:12:06.320284+00:00
HumanEval/18,C,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,100.46,2026-04-21T23:13:46.778265+00:00
HumanEval/18,D,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,92.69,2026-04-21T23:15:19.471846+00:00
HumanEval/19,A,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,39.36,2026-04-21T23:15:58.834991+00:00
HumanEval/19,B,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,105.18,2026-04-21T23:17:44.012523+00:00
HumanEval/19,C,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,87.44,2026-04-21T23:19:11.458740+00:00
HumanEval/19,D,correct,0.385000,1.000000,0.000000,1,G6_SHALLOW_ATTACKS: edge_coverage=0.000 < 0.75,95.78,2026-04-21T23:20:47.243969+00:00
HumanEval/20,A,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,33.52,2026-04-21T23:21:20.769823+00:00
HumanEval/20,B,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,80.40,2026-04-21T23:22:41.178373+00:00
HumanEval/20,C,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,90.25,2026-04-21T23:24:11.428704+00:00
HumanEval/20,D,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,83.93,2026-04-21T23:25:35.359493+00:00
HumanEval/21,A,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,31.96,2026-04-21T23:26:07.323413+00:00
HumanEval/21,B,degraded,0.036667,0.000000,0.166667,1,G2_CANONICAL_REGRESSION: pass@k=0.000,215.32,2026-04-21T23:29:42.647637+00:00
HumanEval/21,C,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,73.58,2026-04-21T23:30:56.225235+00:00
HumanEval/21,D,degraded,0.120000,0.000000,0.545455,1,G2_CANONICAL_REGRESSION: pass@k=0.000,265.77,2026-04-21T23:35:21.993423+00:00
HumanEval/22,A,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,48.72,2026-04-21T23:36:10.711181+00:00
HumanEval/22,B,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,77.07,2026-04-21T23:37:27.786679+00:00
HumanEval/22,C,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,90.93,2026-04-21T23:38:58.714704+00:00
HumanEval/22,D,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,71.89,2026-04-21T23:40:10.609445+00:00
HumanEval/23,A,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,41.41,2026-04-21T23:40:52.019119+00:00
HumanEval/23,B,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,83.34,2026-04-21T23:42:15.358745+00:00
HumanEval/23,C,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,87.89,2026-04-21T23:43:43.254703+00:00
HumanEval/23,D,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,84.63,2026-04-21T23:45:07.893180+00:00
HumanEval/24,A,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,42.92,2026-04-21T23:45:50.819552+00:00
HumanEval/24,B,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,102.26,2026-04-21T23:47:33.078914+00:00
HumanEval/24,C,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,86.61,2026-04-21T23:48:59.695127+00:00
HumanEval/24,D,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,90.97,2026-04-21T23:50:30.666170+00:00
HumanEval/25,A,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,50.00,2026-04-21T23:51:20.663683+00:00
HumanEval/25,B,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,79.80,2026-04-21T23:52:40.461273+00:00
HumanEval/25,C,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,89.24,2026-04-21T23:54:09.699496+00:00
HumanEval/25,D,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,85.10,2026-04-21T23:55:34.797013+00:00
HumanEval/26,A,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,25.98,2026-04-21T23:56:00.780572+00:00
HumanEval/26,B,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,91.44,2026-04-21T23:57:32.223664+00:00
HumanEval/26,C,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,88.94,2026-04-21T23:59:01.166355+00:00
HumanEval/26,D,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,62.75,2026-04-22T00:00:03.916231+00:00
HumanEval/27,A,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,25.98,2026-04-22T00:00:29.897818+00:00
HumanEval/27,B,correct,0.385000,1.000000,0.000000,1,G6_SHALLOW_ATTACKS: edge_coverage=0.000 < 0.75,51.41,2026-04-22T00:01:21.304068+00:00
HumanEval/27,C,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,87.03,2026-04-22T00:02:48.333770+00:00
HumanEval/27,D,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,99.16,2026-04-22T00:04:27.497231+00:00
HumanEval/28,A,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,4.05,2026-04-22T00:04:31.548959+00:00
HumanEval/28,B,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,50.17,2026-04-22T00:05:21.718843+00:00
HumanEval/28,C,correct,0.385000,1.000000,0.000000,1,G6_SHALLOW_ATTACKS: edge_coverage=0.000 < 0.75,211.09,2026-04-22T00:08:52.815534+00:00
HumanEval/28,D,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,82.78,2026-04-22T00:10:15.601790+00:00
HumanEval/29,A,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,22.01,2026-04-22T00:10:37.608930+00:00
HumanEval/29,B,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,94.92,2026-04-22T00:12:12.531975+00:00
HumanEval/29,C,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,96.31,2026-04-22T00:13:48.848207+00:00
HumanEval/29,D,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,74.91,2026-04-22T00:15:03.760140+00:00
HumanEval/30,B,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,77.15,2026-04-22T00:20:24.455356+00:00
HumanEval/30,C,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,99.73,2026-04-22T00:22:04.190095+00:00
HumanEval/30,D,correct,0.385000,1.000000,0.000000,1,G6_SHALLOW_ATTACKS: edge_coverage=0.000 < 0.75,44.58,2026-04-22T00:22:48.771276+00:00
HumanEval/31,A,correct,0.385000,1.000000,0.000000,1,G6_SHALLOW_ATTACKS: edge_coverage=0.000 < 0.75,428.19,2026-04-22T00:29:56.966918+00:00
HumanEval/31,B,correct,0.385000,1.000000,0.000000,1,G6_SHALLOW_ATTACKS: edge_coverage=0.000 < 0.75,231.17,2026-04-22T00:33:48.139763+00:00
HumanEval/31,C,correct,0.385000,1.000000,0.000000,1,G6_SHALLOW_ATTACKS: edge_coverage=0.000 < 0.75,450.96,2026-04-22T00:41:19.105559+00:00
HumanEval/31,D,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,54.52,2026-04-22T00:42:13.632165+00:00
HumanEval/32,A,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,19.70,2026-04-22T00:42:33.329074+00:00
HumanEval/32,B,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,47.55,2026-04-22T00:43:20.880208+00:00
HumanEval/32,C,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,50.22,2026-04-22T00:44:11.106255+00:00
HumanEval/32,D,degraded,0.000000,0.000000,0.000000,1,G2_CANONICAL_REGRESSION: pass@k=0.000,26.69,2026-04-22T00:44:37.802445+00:00
HumanEval/33,A,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,20.58,2026-04-22T00:44:58.384188+00:00
HumanEval/33,B,correct,0.385000,1.000000,0.000000,1,G6_SHALLOW_ATTACKS: edge_coverage=0.000 < 0.75,41.62,2026-04-22T00:45:40.004807+00:00
HumanEval/33,C,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,54.45,2026-04-22T00:46:34.457333+00:00
HumanEval/33,D,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,76.97,2026-04-22T00:47:51.428555+00:00
HumanEval/34,A,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,34.57,2026-04-22T00:48:26.000697+00:00
HumanEval/34,B,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,77.18,2026-04-22T00:49:43.181929+00:00
HumanEval/34,C,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,63.40,2026-04-22T00:50:46.577812+00:00
HumanEval/34,D,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,71.26,2026-04-22T00:51:57.835809+00:00
HumanEval/35,A,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,29.01,2026-04-22T00:52:26.847263+00:00
HumanEval/35,B,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,65.25,2026-04-22T00:53:32.095694+00:00
HumanEval/35,C,correct,0.385000,1.000000,0.000000,1,G6_SHALLOW_ATTACKS: edge_coverage=0.000 < 0.75,199.43,2026-04-22T00:56:51.530290+00:00
HumanEval/35,D,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,60.51,2026-04-22T00:57:52.040039+00:00
HumanEval/36,A,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,46.31,2026-04-22T00:58:38.350883+00:00
HumanEval/36,B,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,77.09,2026-04-22T00:59:55.446834+00:00
HumanEval/36,C,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,69.01,2026-04-22T01:01:04.462967+00:00
HumanEval/36,D,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,88.34,2026-04-22T01:02:32.803925+00:00
HumanEval/37,A,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,42.02,2026-04-22T01:03:14.827855+00:00
HumanEval/37,B,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,74.33,2026-04-22T01:04:29.158633+00:00
HumanEval/37,C,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,84.27,2026-04-22T01:05:53.431038+00:00
HumanEval/37,D,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,75.48,2026-04-22T01:07:08.910983+00:00
HumanEval/38,A,correct,0.385000,1.000000,0.000000,1,G6_SHALLOW_ATTACKS: edge_coverage=0.000 < 0.75,98.40,2026-04-22T01:08:47.312372+00:00
HumanEval/38,B,correct,0.385000,1.000000,0.000000,1,G6_SHALLOW_ATTACKS: edge_coverage=0.000 < 0.75,136.89,2026-04-22T01:11:04.208794+00:00
HumanEval/38,C,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,68.71,2026-04-22T01:12:12.921463+00:00
HumanEval/38,D,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,88.17,2026-04-22T01:13:41.094258+00:00
HumanEval/39,A,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,4.66,2026-04-22T01:13:45.757039+00:00
HumanEval/39,B,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,63.44,2026-04-22T01:14:49.197207+00:00
HumanEval/39,C,correct,-0.074524,0.000000,0.000000,2,G5_PLATEAU: af_delta=-0.7452 < 0.05,508.49,2026-04-22T01:23:17.690211+00:00
HumanEval/39,D,correct,0.385000,1.000000,0.000000,1,G6_SHALLOW_ATTACKS: edge_coverage=0.000 < 0.75,237.70,2026-04-22T01:27:15.392504+00:00
HumanEval/40,A,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,30.83,2026-04-22T01:27:46.222255+00:00
HumanEval/40,B,correct,0.385000,1.000000,0.000000,1,G6_SHALLOW_ATTACKS: edge_coverage=0.000 < 0.75,1073.99,2026-04-22T01:45:40.211617+00:00
HumanEval/40,C,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,74.38,2026-04-22T01:46:54.597034+00:00
HumanEval/40,D,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,50.12,2026-04-22T01:47:44.720109+00:00
HumanEval/41,A,correct,0.385000,1.000000,0.000000,1,G6_SHALLOW_ATTACKS: edge_coverage=0.000 < 0.75,28.62,2026-04-22T01:48:13.344966+00:00
HumanEval/41,B,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,83.29,2026-04-22T01:49:36.636467+00:00
HumanEval/41,C,correct,0.385000,1.000000,0.000000,1,G6_SHALLOW_ATTACKS: edge_coverage=0.000 < 0.75,59.39,2026-04-22T01:50:36.029917+00:00
HumanEval/41,D,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,69.61,2026-04-22T01:51:45.646793+00:00
HumanEval/42,A,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,27.51,2026-04-22T01:52:13.156334+00:00
HumanEval/42,B,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,57.21,2026-04-22T01:53:10.364783+00:00
HumanEval/42,C,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,72.93,2026-04-22T01:54:23.295358+00:00
